,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Type
31,Asian Development Bank,14.58807565,121.05830089349516,Red Mango,14.585690562256572,121.05674572873205,Frozen Yogurt Shop,Cafe/Tea/Dessert
32,Asian Development Bank,14.58807565,121.05830089349516,Forever 21,14.585135913594053,121.05680277869915,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
33,Asian Development Bank,14.58807565,121.05830089349516,Café 1771,14.58493974151109,121.06001563460592,Café,Cafe/Tea/Dessert
34,Asian Development Bank,14.58807565,121.05830089349516,Monster Radio RX 93.1,14.587054475419405,121.06250237215241,Radio Station,Entertainment
35,Asian Development Bank,14.58807565,121.05830089349516,Topshop,14.591294200968392,121.05952754211424,Women's Store,"Cosmetics, Clothes, Beauty and Health Services"
36,Asian Development Bank,14.58807565,121.05830089349516,Nonna's,14.591460763651984,121.05999582612284,Italian Restaurant,Restaurant
37,Asian Development Bank,14.58807565,121.05830089349516,Sbarro,14.584837215934716,121.0564705416861,Pizza Place,Fast Food
38,Asian Development Bank,14.58807565,121.05830089349516,Gringo Chicken • Ribs • Friends,14.5844581915304,121.05736360173809,Latin American Restaurant,Restaurant
39,Asian Development Bank,14.58807565,121.05830089349516,Seven Corners,14.590495,121.060947,Buffet,Restaurant
40,Asian Development Bank,14.58807565,121.05830089349516,S&R New York Style Pizza,14.59144299594646,121.05943521455154,Pizza Place,Fast Food
41,Asian Development Bank,14.58807565,121.05830089349516,Yoga Plus,14.58644610406091,121.06128761692408,Yoga Studio,Sports & Fitness
42,Asian Development Bank,14.58807565,121.05830089349516,Mesa Filipino Moderne,14.584467039379824,121.05741935145927,Filipino Restaurant,Restaurant
43,Asian Development Bank,14.58807565,121.05830089349516,Auntie Anne's,14.591051423801328,121.05988044832304,Bakery,Convenience Stores and Food Essentials
44,Asian Development Bank,14.58807565,121.05830089349516,Krispy Kreme,14.584194706523506,121.05663884777388,Donut Shop,Cafe/Tea/Dessert
45,Asian Development Bank,14.58807565,121.05830089349516,Old Navy,14.584628714943427,121.0571338450632,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
46,Asian Development Bank,14.58807565,121.05830089349516,Chili's Grill & Bar,14.584452719067595,121.05728106158293,Tex-Mex Restaurant,Restaurant
47,Asian Development Bank,14.58807565,121.05830089349516,Army Navy Burger + Burrito,14.587105319716672,121.06178542882108,Burrito Place,Fast Food
48,Asian Development Bank,14.58807565,121.05830089349516,Dairy Queen,14.584571189076348,121.05682869983427,Ice Cream Shop,Cafe/Tea/Dessert
49,Asian Development Bank,14.58807565,121.05830089349516,Fitness First,14.585077707195296,121.05678973822545,Gym / Fitness Center,Sports & Fitness
50,Asian Development Bank,14.58807565,121.05830089349516,Yayoi,14.583871921159675,121.05675181564176,Japanese Restaurant,Restaurant
51,Asian Development Bank,14.58807565,121.05830089349516,Deovir,14.585198071811506,121.05676887980732,Arts & Crafts Store,Art/Culture/Museum
52,Asian Development Bank,14.58807565,121.05830089349516,EDSA Shrine | The Shrine of Mary Queen of Peace,14.592203678288255,121.05893084483152,Church,City Essentials
53,Asian Development Bank,14.58807565,121.05830089349516,Cara Mia Gelateria,14.591353458724198,121.05951623046838,Dessert Shop,Cafe/Tea/Dessert
54,Asian Development Bank,14.58807565,121.05830089349516,SM Megamall,14.583974069010123,121.05676996333789,Shopping Mall,"Gadgets, Hardware, Toys, etc."
55,Asian Development Bank,14.58807565,121.05830089349516,Belo Medical Group,14.584462586318164,121.05727359073751,Medical Center,City Essentials
56,Asian Development Bank,14.58807565,121.05830089349516,TGI Fridays,14.58986181088528,121.06083803901636,American Restaurant,Restaurant
57,Asian Development Bank,14.58807565,121.05830089349516,Crowne Plaza Manila Galleria,14.590660486138413,121.06085403518681,Hotel,Accomodation
58,Asian Development Bank,14.58807565,121.05830089349516,Watsons,14.591770430512195,121.05907648801805,Pharmacy,Convenience Stores and Food Essentials
59,Asian Development Bank,14.58807565,121.05830089349516,Mary Grace,14.591352772389682,121.06052815541841,Dessert Shop,Cafe/Tea/Dessert
60,Asian Development Bank,14.58807565,121.05830089349516,Old Manila Coffee House,14.591520597353409,121.06006180496188,Café,Cafe/Tea/Dessert
61,Asian Development Bank,14.58807565,121.05830089349516,Mesa Grill,14.584454971333097,121.05733149144821,Filipino Restaurant,Restaurant
62,Asian Development Bank,14.58807565,121.05830089349516,Bag O' Shrimps,14.584447341746404,121.05734406365734,Seafood Restaurant,Restaurant
63,Asian Development Bank,14.58807565,121.05830089349516,Razon's of Guagua,14.590961800526562,121.05993849648401,Filipino Restaurant,Restaurant
64,Asian Development Bank,14.58807565,121.05830089349516,Il Padrino Coffee,14.591767787193202,121.05849733269976,Coffee Shop,Cafe/Tea/Dessert
65,Asian Development Bank,14.58807565,121.05830089349516,Slammer Burgers,14.591666210907595,121.05985545885515,Burger Joint,Fast Food
66,Asian Development Bank,14.58807565,121.05830089349516,SaLang Restaurant,14.588622612853413,121.06167638977264,Korean Restaurant,Restaurant
67,Asian Development Bank,14.58807565,121.05830089349516,Bratpack,14.59106723212496,121.05981761087436,Accessories Store,"Cosmetics, Clothes, Beauty and Health Services"
68,Asian Development Bank,14.58807565,121.05830089349516,Dairy Queen,14.591478269441945,121.05931680412523,Ice Cream Shop,Cafe/Tea/Dessert
69,Asian Development Bank,14.58807565,121.05830089349516,Nono's,14.584773240191884,121.05897842855394,Dessert Shop,Cafe/Tea/Dessert
70,Asian Development Bank,14.58807565,121.05830089349516,Yellow Cab Pizza Co.,14.590054207275191,121.06050949537723,Pizza Place,Fast Food
71,Asian Development Bank,14.58807565,121.05830089349516,The Music School of Ryan Cayabyab,14.591396131501105,121.06024288660312,Music School,City Essentials
72,Asian Development Bank,14.58807565,121.05830089349516,Kidzoona,14.591309733149645,121.06026318247177,Playground,Tourist Destination
73,Asian Development Bank,14.58807565,121.05830089349516,Egghead,14.590218,121.06053,Electronics Store,"Gadgets, Hardware, Toys, etc."
74,Asian Development Bank,14.58807565,121.05830089349516,National Book Store,14.591793150091624,121.05849819591616,Bookstore,"Gadgets, Hardware, Toys, etc."
75,Asian Development Bank,14.58807565,121.05830089349516,Gong Cha,14.590139199753962,121.06055423573105,Bubble Tea Shop,Cafe/Tea/Dessert
76,Asian Development Bank,14.58807565,121.05830089349516,Nike Park,14.591787058542874,121.05929060064459,Sporting Goods Shop,Sports & Fitness
77,Asian Development Bank,14.58807565,121.05830089349516,Chatime,14.591769479335117,121.05845741119816,Bubble Tea Shop,Cafe/Tea/Dessert
78,Asian Development Bank,14.58807565,121.05830089349516,Old Navy,14.591829401203844,121.05847300087628,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
79,Asian Development Bank,14.58807565,121.05830089349516,Cafè Mary Grace,14.591192000000001,121.0603,Café,Cafe/Tea/Dessert
80,Asian Development Bank,14.58807565,121.05830089349516,Dermalosophy,14.59180709841775,121.06000529976109,Cosmetics Shop,"Cosmetics, Clothes, Beauty and Health Services"
81,Asian Development Bank,14.58807565,121.05830089349516,Comic Odyssey,14.590300072337575,121.05980974148596,Bookstore,"Gadgets, Hardware, Toys, etc."
82,Asian Development Bank,14.58807565,121.05830089349516,Uniqlo ユニクロ,14.591764842901776,121.05846415014764,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
83,Asian Development Bank,14.58807565,121.05830089349516,Chili's Grill & Bar,14.591885233619726,121.05991558759015,Tex-Mex Restaurant,Restaurant
84,Asian Development Bank,14.58807565,121.05830089349516,Big Chill,14.591326375031706,121.05952120841215,Juice Bar,Cafe/Tea/Dessert
85,Asian Development Bank,14.58807565,121.05830089349516,Ha-Neul Korean Mart,14.588649562815034,121.06150593789258,Snack Place,Fast Food
86,Asian Development Bank,14.58807565,121.05830089349516,Starbucks,14.592158469689185,121.05904421243963,Coffee Shop,Cafe/Tea/Dessert
87,Asian Development Bank,14.58807565,121.05830089349516,Ramen Nagi,14.59166449736705,121.0600716698495,Ramen Restaurant,Restaurant
88,Asian Development Bank,14.58807565,121.05830089349516,Let's Face It,14.591573553679051,121.06007028644116,Spa,"Cosmetics, Clothes, Beauty and Health Services"
89,Asian Development Bank,14.58807565,121.05830089349516,"Toys""Я""Us",14.591888,121.059278,Toy / Game Store,"Gadgets, Hardware, Toys, etc."
90,Asian Development Bank,14.58807565,121.05830089349516,Pepper Lunch Express,14.591011152261743,121.05990509483922,Japanese Restaurant,Restaurant
91,Asian Development Bank,14.58807565,121.05830089349516,The Coffee Bean & Tea Leaf,14.589327476069935,121.06198728756456,Coffee Shop,Cafe/Tea/Dessert
92,Asian Development Bank,14.58807565,121.05830089349516,50th Avenue,14.590263037380206,121.06043066088993,Boutique,"Cosmetics, Clothes, Beauty and Health Services"
93,Asian Development Bank,14.58807565,121.05830089349516,Racks,14.583900450544562,121.05730870000002,American Restaurant,Restaurant
94,Asian Development Bank,14.58807565,121.05830089349516,Robinsons Supermarket,14.591433084407976,121.05907079695793,Supermarket,Convenience Stores and Food Essentials
95,Asian Development Bank,14.58807565,121.05830089349516,J.CO Donuts & Coffee,14.591965485555766,121.05988721089052,Donut Shop,Cafe/Tea/Dessert
96,Asian Development Bank,14.58807565,121.05830089349516,Shinsen,14.587967945604687,121.06251879774565,Sushi Restaurant,Restaurant
97,Asian Development Bank,14.58807565,121.05830089349516,The Stockpile,14.588016717007251,121.06284188562006,Bistro,Restaurant
98,Asian Development Bank,14.58807565,121.05830089349516,Mr. Park's Bread & Cake,14.58813452629587,121.0621015521377,Bakery,Convenience Stores and Food Essentials
99,Asian Development Bank,14.58807565,121.05830089349516,Chatime,14.588645926240801,121.06222497505344,Bubble Tea Shop,Cafe/Tea/Dessert
100,Febias College of Bible,14.6878992,120.98140788480265,Box Yard,14.688767377526204,120.9780996553784,Food Court,Restaurant
101,Febias College of Bible,14.6878992,120.98140788480265,Gong Cha,14.685019500000001,120.97876000000001,Bubble Tea Shop,Cafe/Tea/Dessert
102,Febias College of Bible,14.6878992,120.98140788480265,SM Bowling,14.688003560898633,120.9781436820713,Bowling Alley,Sports & Fitness
103,Citibank,14.6073145,121.07892439999999,House of Wagyu Stone Grill,14.608527879320114,121.07888762131626,Australian Restaurant,Restaurant
104,Citibank,14.6073145,121.07892439999999,Healthy Options,14.608518670467927,121.07888628374745,Health Food Store,Convenience Stores and Food Essentials
105,Citibank,14.6073145,121.07892439999999,Mystery Manila,14.606628566286185,121.07887704537063,Recreation Center,Sports & Fitness
106,Citibank,14.6073145,121.07892439999999,Eastwood Citywalk 1,14.608452153586256,121.0789000751623,Shopping Mall,"Gadgets, Hardware, Toys, etc."
107,Citibank,14.6073145,121.07892439999999,Yellow Cab Pizza Co.,14.608607520522995,121.0803627516371,Pizza Place,Fast Food
108,Citibank,14.6073145,121.07892439999999,Eastwood City,14.609449634409057,121.07984908078072,Business Center,Business Hub
109,Citibank,14.6073145,121.07892439999999,Go! Salads,14.608512628119529,121.07886792164976,Salad Place,Restaurant
110,Citibank,14.6073145,121.07892439999999,Buddy's,14.608235976007473,121.08027322129621,Filipino Restaurant,Restaurant
111,Citibank,14.6073145,121.07892439999999,Built By Sonic,14.609757548883376,121.08111953409856,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
112,Citibank,14.6073145,121.07892439999999,Tim Hortons,14.609929922009153,121.07884117922777,Coffee Shop,Cafe/Tea/Dessert
113,Citibank,14.6073145,121.07892439999999,Eastwood Mall Open Park,14.609992063153296,121.07977211476185,Park,Tourist Destination
114,Citibank,14.6073145,121.07892439999999,TGI Fridays,14.609317012188125,121.08048836681346,American Restaurant,Restaurant
115,Citibank,14.6073145,121.07892439999999,Cyma,14.609536313631995,121.08025932870359,Greek Restaurant,Restaurant
116,Citibank,14.6073145,121.07892439999999,Romantic Baboy,14.606853338779493,121.07897652519765,Korean Restaurant,Restaurant
117,Citibank,14.6073145,121.07892439999999,Nail Tropics Eastwood,14.610033960106726,121.07880363825909,Cosmetics Shop,"Cosmetics, Clothes, Beauty and Health Services"
118,Citibank,14.6073145,121.07892439999999,Eastwood Cinemas,14.60926298353593,121.08105805129992,Multiplex,Entertainment
119,Citibank,14.6073145,121.07892439999999,Uniqlo ユニクロ,14.609525473995967,121.08009390850212,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
120,Citibank,14.6073145,121.07892439999999,S&R New York Style Pizza,14.607440330039639,121.081856203371,Pizza Place,Fast Food
121,Citibank,14.6073145,121.07892439999999,The Custaroonery,14.606601094508425,121.07951885060496,Dessert Shop,Cafe/Tea/Dessert
122,Citibank,14.6073145,121.07892439999999,CrossfitMNL,14.610296035440287,121.07863842795315,Gym / Fitness Center,Sports & Fitness
123,Citibank,14.6073145,121.07892439999999,Eastwood Mall,14.610384491589233,121.08000070265852,Shopping Mall,"Gadgets, Hardware, Toys, etc."
124,Citibank,14.6073145,121.07892439999999,Eastwood Mall Cinemas,14.610321146204955,121.07994721562358,Multiplex,Entertainment
125,Citibank,14.6073145,121.07892439999999,Café Mary Grace,14.610511448379564,121.08008069851655,Café,Cafe/Tea/Dessert
126,Citibank,14.6073145,121.07892439999999,Gloss Nail & Body Spa,14.60865059689433,121.08101883161142,Spa,"Cosmetics, Clothes, Beauty and Health Services"
127,Citibank,14.6073145,121.07892439999999,Happy Lemon,14.610302163883006,121.07995848410341,Bubble Tea Shop,Cafe/Tea/Dessert
128,Citibank,14.6073145,121.07892439999999,Rue Bourbon,14.609606341510133,121.08084872750165,Cocktail Bar,Night Life
129,Citibank,14.6073145,121.07892439999999,Señor Pollo,14.609549850337741,121.0808123251987,Latin American Restaurant,Restaurant
130,Citibank,14.6073145,121.07892439999999,Sambo Kojin,14.608467814123928,121.08079382953619,Buffet,Restaurant
131,Citibank,14.6073145,121.07892439999999,Starbucks,14.609828001403868,121.07908246423992,Coffee Shop,Cafe/Tea/Dessert
132,Citibank,14.6073145,121.07892439999999,Curves,14.609758286790754,121.08114855135864,Gym / Fitness Center,Sports & Fitness
133,Citibank,14.6073145,121.07892439999999,Starbucks,14.607571012397408,121.07913095437272,Coffee Shop,Cafe/Tea/Dessert
134,Citibank,14.6073145,121.07892439999999,Peri-Peri Charcoal Chicken,14.610182156118267,121.07969575303332,Portuguese Restaurant,Restaurant
135,Citibank,14.6073145,121.07892439999999,"Toys""Я""Us",14.610319503824597,121.0799869346079,Toy / Game Store,"Gadgets, Hardware, Toys, etc."
136,Citibank,14.6073145,121.07892439999999,Cibo,14.610578237049616,121.07987194624748,Italian Restaurant,Restaurant
137,Citibank,14.6073145,121.07892439999999,UCC Park Café,14.609102221072972,121.08009145027641,Café,Cafe/Tea/Dessert
138,Citibank,14.6073145,121.07892439999999,Pepper Lunch,14.610271830258037,121.079970969755,Japanese Restaurant,Restaurant
139,Citibank,14.6073145,121.07892439999999,Ippudo,14.6100743,121.07903200000001,Ramen Restaurant,Restaurant
140,Citibank,14.6073145,121.07892439999999,Fully Booked,14.610305968134801,121.07997698716251,Bookstore,"Gadgets, Hardware, Toys, etc."
141,Citibank,14.6073145,121.07892439999999,Gitara Grill,14.609610414626074,121.08082717242615,Filipino Restaurant,Restaurant
142,Citibank,14.6073145,121.07892439999999,Red Mango,14.608501375802096,121.07886263535748,Frozen Yogurt Shop,Cafe/Tea/Dessert
143,Citibank,14.6073145,121.07892439999999,Faburrito,14.610626250267597,121.08026827646505,Mexican Restaurant,Restaurant
144,Citibank,14.6073145,121.07892439999999,J Cuppacakes,14.609024460054199,121.08053727504044,Cupcake Shop,Cafe/Tea/Dessert
145,Citibank,14.6073145,121.07892439999999,NamaNama Asian Comfort Food,14.60816433736543,121.08025257602564,Asian Restaurant,Restaurant
146,Citibank,14.6073145,121.07892439999999,Eastwood Citywalk 2,14.609755006470499,121.08109130759048,Shopping Mall,"Gadgets, Hardware, Toys, etc."
147,Citibank,14.6073145,121.07892439999999,Casita Xocolat,14.605964830007586,121.08128403752579,Café,Cafe/Tea/Dessert
148,Citibank,14.6073145,121.07892439999999,Nuat Thai,14.604010564961698,121.07915589137102,Spa,"Cosmetics, Clothes, Beauty and Health Services"
149,Citibank,14.6073145,121.07892439999999,Starbucks,14.609805870130794,121.08121383161593,Coffee Shop,Cafe/Tea/Dessert
150,Citibank,14.6073145,121.07892439999999,Uke box caffé,14.608945572111125,121.07707617964058,Café,Cafe/Tea/Dessert
151,Citibank,14.6073145,121.07892439999999,Marks & Spencer,14.609760000000001,121.079205,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
152,Citibank,14.6073145,121.07892439999999,One Central Park,14.61021919434979,121.07922211944329,Residential Building (Apartment / Condo),Residential
153,Citibank,14.6073145,121.07892439999999,Burger King,14.602896486401422,121.07893651450036,Fast Food Restaurant,Fast Food
154,Citibank,14.6073145,121.07892439999999,Army Navy Burger + Burrito,14.609851718232115,121.08114902735923,Burrito Place,Fast Food
155,Citibank,14.6073145,121.07892439999999,Ultra 7 Eastwood Cinema,14.610213289750448,121.07994829863337,Movie Theater,Entertainment
156,Citibank,14.6073145,121.07892439999999,The Spa,14.605056947037074,121.07902103426584,Spa,"Cosmetics, Clothes, Beauty and Health Services"
157,Citibank,14.6073145,121.07892439999999,Gold's Gym,14.60480789624933,121.07916156663315,Gym / Fitness Center,Sports & Fitness
158,Citibank,14.6073145,121.07892439999999,Music Bank,14.609467218488245,121.076604297631,Karaoke Bar,Night Life
159,Citibank,14.6073145,121.07892439999999,Microtel Inn & Suites,14.607761888654766,121.0782543939457,Hotel,Accomodation
160,Citibank,14.6073145,121.07892439999999,Soban K-Town Grill,14.61036017844269,121.07952063077671,Korean Restaurant,Restaurant
161,Citibank,14.6073145,121.07892439999999,Mesa Filipino Moderne,14.6112404824668,121.07921589149299,Filipino Restaurant,Restaurant
162,Citibank,14.6073145,121.07892439999999,"iDoNails, Eastwood Mall",14.610456359645328,121.08033477619223,Cosmetics Shop,"Cosmetics, Clothes, Beauty and Health Services"
163,Citibank,14.6073145,121.07892439999999,Coral Garden,14.608776878491248,121.077283349804,Chinese Restaurant,Restaurant
164,Citibank,14.6073145,121.07892439999999,Cozy Nail Lounge,14.610347074782775,121.07594666624462,Cosmetics Shop,"Cosmetics, Clothes, Beauty and Health Services"
165,Citibank,14.6073145,121.07892439999999,Eastwood Cinema 5,14.610857154093685,121.07960781027045,Movie Theater,Entertainment
166,Citibank,14.6073145,121.07892439999999,Eastwood Citywalk Movie House,14.609452776855726,121.08097316255504,Movie Theater,Entertainment
167,Citibank,14.6073145,121.07892439999999,Jamba Juice,14.61124353346946,121.0792202433683,Juice Bar,Cafe/Tea/Dessert
168,Citibank,14.6073145,121.07892439999999,Tien Ma's Taiwanese Cuisine,14.608843790603554,121.07725739823296,Dumpling Restaurant,Restaurant
169,Citibank,14.6073145,121.07892439999999,Acropolis Village Clubhouse,14.603427072827625,121.07669081385214,Club House,Entertainment
170,Citibank,14.6073145,121.07892439999999,Tous Les Jours,14.60842756843277,121.07887908811348,Bakery,Convenience Stores and Food Essentials
171,Citibank,14.6073145,121.07892439999999,Eastwood Cinema 6,14.610984805446368,121.07994400778007,Movie Theater,Entertainment
172,Citibank,14.6073145,121.07892439999999,Italianni’s,14.610016772686008,121.07985975834202,Italian Restaurant,Restaurant
173,Citibank,14.6073145,121.07892439999999,Marks & Spencer Cafe,14.610029524052965,121.07983288485272,Bakery,Convenience Stores and Food Essentials
174,Citibank,14.6073145,121.07892439999999,Toby's Estate Coffee Roasters,14.610257355113257,121.07983539205559,Coffee Shop,Cafe/Tea/Dessert
175,Citibank,14.6073145,121.07892439999999,Max's Restaurant,14.610016881288983,121.08070657120577,Fried Chicken Joint,Fast Food
176,Citibank,14.6073145,121.07892439999999,All Day Supermarket,14.603834488864253,121.07963420423435,Supermarket,Convenience Stores and Food Essentials
177,Citibank,14.6073145,121.07892439999999,Pie Face,14.610561091151679,121.08035238020138,Café,Cafe/Tea/Dessert
178,Citibank,14.6073145,121.07892439999999,Fitness First,14.611385980067213,121.08040217610285,Gym,Sports & Fitness
179,Citibank,14.6073145,121.07892439999999,Chicken Charlie,14.60941449211848,121.08107799649281,Fried Chicken Joint,Fast Food
180,Citibank,14.6073145,121.07892439999999,Blue Water Day Spa,14.610406368615875,121.07885192534368,Spa,"Cosmetics, Clothes, Beauty and Health Services"
181,Citibank,14.6073145,121.07892439999999,AySee,14.608454382928656,121.078875984633,Food Court,Restaurant
182,Citibank,14.6073145,121.07892439999999,Shakey's,14.606420721135194,121.07884959197449,Pizza Place,Fast Food
183,Citibank,14.6073145,121.07892439999999,GAP,14.611231847567012,121.07919119466992,Clothing Store,"Cosmetics, Clothes, Beauty and Health Services"
184,Citibank,14.6073145,121.07892439999999,Blushing Cupcakes,14.604408440459284,121.07958601613802,Cupcake Shop,Cafe/Tea/Dessert
185,Citibank,14.6073145,121.07892439999999,Jang Gun Korean BBQ,14.609361671977315,121.0767484818032,Korean Restaurant,Restaurant
186,Citibank,14.6073145,121.07892439999999,Hot Rocks,14.604357935866654,121.07951649731272,Steakhouse,Restaurant
187,Citibank,14.6073145,121.07892439999999,Coffee Project,14.603914039369213,121.07947829387156,Coffee Shop,Cafe/Tea/Dessert
188,Citibank,14.6073145,121.07892439999999,Hokkaido Ramen Santouka,14.610580960466745,121.07927584819565,Japanese Restaurant,Restaurant
189,Citibank,14.6073145,121.07892439999999,Dunkin',14.606926999999999,121.079094,Donut Shop,Cafe/Tea/Dessert
190,Citibank,14.6073145,121.07892439999999,BreadTalk,14.611271437577036,121.07920899064844,Bakery,Convenience Stores and Food Essentials
191,Citibank,14.6073145,121.07892439999999,Gerry's Grill,14.608512842242405,121.07887522237931,Filipino Restaurant,Restaurant
192,Citibank,14.6073145,121.07892439999999,McDonald's,14.607432000000001,121.07871599999999,Fast Food Restaurant,Fast Food
193,Citibank,14.6073145,121.07892439999999,Pizza Hut,14.606906458375072,121.0789927192957,Pizza Place,Fast Food
194,Citibank,14.6073145,121.07892439999999,KFC,14.606078836337733,121.07890316480065,Fast Food Restaurant,Fast Food
195,Citibank,14.6073145,121.07892439999999,Beabi,14.610653026001337,121.07922027549307,Furniture / Home Store,"Gadgets, Hardware, Toys, etc."
196,Citibank,14.6073145,121.07892439999999,The Eastwood Lafayette 2,14.60852853706484,121.07901230186948,Residential Building (Apartment / Condo),Residential
197,Citibank,14.6073145,121.07892439999999,Jollibee,14.606587418301228,121.07900290577808,Fast Food Restaurant,Fast Food
198,Citibank,14.6073145,121.07892439999999,Octoboy,14.60851476492188,121.07887939601947,Japanese Restaurant,Restaurant
199,Citibank,14.6073145,121.07892439999999,Porky's Bagnet Station,14.604020419387705,121.07968257629993,Diner,Restaurant
200,Citibank,14.6073145,121.07892439999999,Royal Siam Spa,14.610671142109613,121.07922888284115,Spa,"Cosmetics, Clothes, Beauty and Health Services"
201,Citibank,14.6073145,121.07892439999999,Timezone,14.610649468688084,121.0792712255902,Arcade,Entertainment
202,Citibank,14.6073145,121.07892439999999,Ton Ton's Thai Massage,14.61067644297164,121.07922661551191,Spa,"Cosmetics, Clothes, Beauty and Health Services"
203,Producers Bank,14.5296986,121.04124650000001,Philippine Army Golf Course,14.531546336397405,121.04061174514992,Golf Course,Sports & Fitness
204,Producers Bank,14.5296986,121.04124650000001,Cendong's Garden,14.527904999999999,121.04196499999999,Restaurant,Restaurant
